Company,Company public response,State,ZIP code,Company response to consumer,Complaint ID
Specialized Loan Servicing LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,928XX,Closed with explanation,2467239
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,926XX,Closed with monetary relief,2466661
Ditech Financial LLC,Company believes complaint is the result of an isolated error,AZ,85715,Closed with explanation,2469667
FC HoldCo LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SC,29436,Closed with explanation,2467065
McCarthy & Holthus LLP,Company believes it acted appropriately as authorized by contract or law,WA,983XX,Closed with explanation,2465635
Navient Solutions LLC.,NA,MI,48331,Closed with explanation,2381647
Navient Solutions LLC.,NA,FL,342XX,Closed with explanation,2382722
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,219XX,Closed with non-monetary relief,2474736
Stearns Ventures LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,174XX,Closed with explanation,2469164
Receivables Performance Management LLC,NA,CA,932XX,Closed with explanation,2468069
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77082,Closed with explanation,2472009
National Credit SystemsInc.,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TX,773XX,Closed with explanation,2469127
CL HOLDINGS LLC,NA,FL,33076,Closed with non-monetary relief,2382716
All State Credit Bureau Inc.,NA,MI,482XX,Closed with explanation,2382604
GREAT LAKES,Company believes it acted appropriately as authorized by contract or law,WA,98531,Closed with explanation,2471387
EQUIFAX INC.,NA,OR,977XX,Closed with explanation,2470271
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,21230,Closed with monetary relief,2379102
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,90603,Closed with monetary relief,2444801
PRESTIGE FINANCIAL SERVICES INC,NA,ID,836XX,Closed with explanation,2471068
NCB MANAGEMENT SERVICES INC,NA,IL,606XX,Closed with explanation,2474996
JPMORGAN CHASE & CO.,NA,NJ,088XX,Closed with non-monetary relief,2382778
WESTERN UNION COMPANY THE,NA,CA,926XX,Closed with explanation,2465793
I.C. System Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,914XX,Closed with explanation,2470767
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,902XX,Closed with non-monetary relief,2430833
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,32137,Closed with explanation,2436188
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,94523,Closed with non-monetary relief,2468055
AR Resources Inc.,NA,FL,336XX,Closed with explanation,2467543
AmeriHome Mortgage Company LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,754XX,Closed with explanation,2466387
EQUIFAX INC.,NA,KS,672XX,Closed with explanation,2470851
Seterus Inc.,NA,MD,211XX,Closed with explanation,2467595
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,303XX,Closed with explanation,2467410
HSBC NORTH AMERICA HOLDINGS INC.,NA,NY,11365,Closed with explanation,2382777
Ditech Financial LLC,NA,CA,91351,Closed with explanation,2468745
ERC,Company believes it acted appropriately as authorized by contract or law,AZ,85286,Closed with explanation,2474366
Big Picture Loans LLC,NA,MN,560XX,Closed with explanation,2378208
Special Financing Company LLC,Company believes it acted appropriately as authorized by contract or law,WI,54484,Closed with explanation,2474457
EQUIFAX INC.,NA,AZ,85016,Closed with explanation,2470315
Resurgent Capital Services L.P.,NA,FL,327XX,Closed with explanation,2466746
EQUIFAX INC.,NA,IN,471XX,Closed with explanation,2470338
EQUIFAX INC.,NA,TX,752XX,Closed with explanation,2382736
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OR,97603,Closed with monetary relief,2425952
Enova International Inc.,Company disputes the facts presented in the complaint,CA,93041,Closed with explanation,2467352
The Law Offices of Mitchell D. Bluhm & Associates,NA,TX,78383,Closed with non-monetary relief,2353139
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AZ,850XX,Closed with monetary relief,2466171
BARCLAYS BANK DELAWARE,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92630,Closed with monetary relief,2474947
SLM CORPORATION,Company believes complaint represents an opportunity for improvement to better serve consumers,CT,064XX,Closed with monetary relief,2420557
TD BANK US HOLDING COMPANY,NA,NC,27545,Closed with non-monetary relief,1303306
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,947XX,Closed with explanation,2404044
JPMORGAN CHASE & CO.,NA,AL,358XX,Closed with explanation,2446686
RGS Financial Inc.,Company believes it acted appropriately as authorized by contract or law,KS,67226,Closed with explanation,2469509
TRANSUNION INTERMEDIATE HOLDINGS INC.,NA,TX,78613,Closed with explanation,1065773
Diversified Consultants Inc.,NA,CA,913XX,Closed with explanation,2382852
Navient Solutions LLC.,NA,NM,871XX,Closed with explanation,2469137
Delta Management Associates Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,750XX,Closed with explanation,2470465
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,142XX,Closed with non-monetary relief,2406811
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,346XX,Closed with explanation,2467114
CAPITAL ONE FINANCIAL CORPORATION,NA,CT,6787,Closed with explanation,2383843
CAPITAL ONE FINANCIAL CORPORATION,NA,TX,780XX,Closed with explanation,2464538
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NE,68102,Closed with explanation,2474694
AMERICAN EXPRESS CENTURION BANK,NA,CA,953XX,Closed with explanation,2479362
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,331XX,Closed with explanation,2426933
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,18613,Closed with explanation,2406868
PNC Bank N.A.,NA,OH,43302,Closed with explanation,2410607
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,920XX,Closed with explanation,2406742
AFNI INC.,NA,SC,295XX,Closed with explanation,2466894
ERC,Company believes it acted appropriately as authorized by contract or law,TX,75028,Closed with explanation,2474007
AUDIT SYSTEMSINC,Company disputes the facts presented in the complaint,NJ,075XX,Closed with explanation,2466946
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,906XX,Closed with explanation,2466489
JPMORGAN CHASE & CO.,NA,GA,30110,Closed with explanation,2432246
BANK OF AMERICA NATIONAL ASSOCIATION,Company chooses not to provide a public response,TX,77054,Closed with explanation,1424787
M&T BANK CORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,128XX,Closed with explanation,2466266
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AR,716XX,Closed with monetary relief,2427827
JPMORGAN CHASE & CO.,NA,NV,89031,Closed with monetary relief,435414
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30340,Closed with explanation,2424016
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,346XX,Closed with explanation,2465486
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,301XX,Closed with explanation,2470752
Shellpoint Partners LLC,Company believes complaint is the result of an isolated error,SC,294XX,Closed with explanation,2473973
BAYVIEW LOAN SERVICING LLC,NA,FL,33029,Closed with explanation,2381487
Seterus Inc.,NA,MA,020XX,Closed with explanation,2473598
BBVA COMPASS FINANCIAL CORPORATION,NA,TX,75023,Closed with explanation,2442332
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MA,2461,Closed with explanation,2406869
BAYVIEW LOAN SERVICING LLC,NA,CA,95125,Closed with explanation,2382569
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NA,NA,Closed with monetary relief,2473885
JPMORGAN CHASE & CO.,NA,MD,214XX,Closed with explanation,2471100
AMERICAN EXPRESS CENTURION BANK,NA,NV,89117,Closed with monetary relief,2464472
Ditech Financial LLC,NA,TX,787XX,Closed with explanation,2469099
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77520,Closed with explanation,2466934
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,7013,Closed with explanation,2446891
Seterus Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30093,Closed with explanation,2431445
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OR,973XX,Closed with explanation,2467521
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,802XX,Closed with explanation,2468140
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CT,063XX,Closed with monetary relief,2470496
BlueChip Financial,Company believes complaint caused principally by actions of third party outside the control or direction of the company,NJ,074XX,Closed with explanation,2464812
Empowerment Ventures LLC,Company believes it acted appropriately as authorized by contract or law,NA,NA,Closed with explanation,2470117
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,483XX,Closed with explanation,2467093
Navient Solutions LLC.,NA,NY,114XX,Closed with explanation,2382015
ConServe,NA,OH,441XX,Closed with explanation,2465339
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,928XX,Closed with non-monetary relief,2406761
EQUIFAX INC.,NA,FL,335XX,Closed with explanation,2470916
Solomon and Solomon P.C.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,14621,Closed with explanation,2475559
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92399,Closed with explanation,2408083
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,DE,19709,Closed with non-monetary relief,2475875
ENCORE CAPITAL GROUP INC.,NA,CA,902XX,Closed with non-monetary relief,2377895
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MN,55379,Closed with explanation,2467007
EARLY WARNING SERVICES LLC,NA,TX,781XX,Closed with explanation,2469970
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,750XX,Closed with explanation,2467890
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30058,Closed with explanation,2469148
Account Control Technology Inc.,Company believes complaint caused principally by actions of third party outside the control or direction of the company,MN,553XX,Closed with explanation,2467482
PAYPAL HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,286XX,Closed with explanation,2465915
ALLY FINANCIAL INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OK,735XX,Closed with explanation,2426468
AFNI INC.,NA,TX,774XX,Closed with explanation,2467221
TRANSWORLD SYSTEMS INC,NA,NY,130XX,Closed with explanation,2382521
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AR,71730,Closed with explanation,2469280
Diversified Adjustment Service Inc.,Company believes it acted appropriately as authorized by contract or law,PA,191XX,Closed with explanation,2469174
TekCollect Inc.,Company believes complaint caused principally by actions of third party outside the control or direction of the company,VA,222XX,Closed with non-monetary relief,2474639
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30032,Closed with explanation,2464992
City Enterprises LLC,NA,AL,366XX,Closed with explanation,2466037
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30157,Closed with explanation,1911809
First Associates Loan Servicing LLC,Company believes complaint caused principally by actions of third party outside the control or direction of the company,OR,972XX,Closed with explanation,2480576
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,19530,Closed with explanation,2476545
JPMORGAN CHASE & CO.,NA,NV,89101,Closed with non-monetary relief,2381930
EQUIFAX INC.,NA,MS,39532,Closed with explanation,2382776
JPMORGAN CHASE & CO.,NA,NY,100XX,Closed with monetary relief,2476496
Rent Recover LLC,NA,GA,302XX,Untimely response,2382541
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,921XX,Closed with explanation,2469392
AES/PHEAA,NA,UT,840XX,Closed with explanation,2465623
DISCOVER BANK,NA,TX,765XX,Closed with non-monetary relief,2475102
American Credit Resolution Incorporated,Company disputes the facts presented in the complaint,CA,926XX,Closed with explanation,2479659
A.R.M. Solutions Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,KY,40503,Closed with explanation,2471724
Navient Solutions LLC.,NA,MD,207XX,Closed with explanation,2382723
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93245,Closed with explanation,2471777
Ad Astra Recovery Services Inc,NA,TX,775XX,Closed with explanation,2478706
WELLS FARGO BANK NATIONAL ASSOCIATION,Company chooses not to provide a public response,CA,90280,Closed with explanation,1500830
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11209,Closed with explanation,2260772
Professional Adjustment Corp. of S.W. FL. Inc.,Company believes it acted appropriately as authorized by contract or law,FL,347XX,Closed with explanation,2479154
Seterus Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,344XX,Closed with explanation,2471616
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,34957,Closed with explanation,2408122
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,900XX,Closed with explanation,2468094
Specialized Loan Servicing LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92660,Closed with explanation,2383543
WELLS FARGO BANK NATIONAL ASSOCIATION,NA,OH,43147,Closed with explanation,94452
CAPITAL ONE FINANCIAL CORPORATION,NA,WA,98563,Closed with explanation,2442479
JPMORGAN CHASE & CO.,NA,NJ,088XX,Closed with explanation,2382510
AMERICAN EXPRESS CENTURION BANK,NA,FL,33948,Closed with explanation,2378386
I.C. System Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AL,35630,Closed with explanation,2440163
Convergent Resources Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,750XX,Closed with explanation,2480640
TOYOTA MOTOR CREDIT CORPORATION,NA,NY,10977,Closed with explanation,2471451
Convergent Resources Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NM,87114,Closed with explanation,2474617
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11730,Closed with explanation,2468425
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,11238,Closed with explanation,2467163
Specialized Loan Servicing LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98926,Closed with explanation,2468478
Navient Solutions LLC.,NA,MI,493XX,Closed with explanation,2382816
Firstsource Advantage LLC,Company believes complaint caused principally by actions of third party outside the control or direction of the company,OH,45426,Closed with explanation,2400886
OCWEN LOAN SERVICING LLC,NA,FL,321XX,Closed with explanation,2464415
PHH Mortgage Services Corporation,NA,CA,958XX,Closed with explanation,2447119
OCWEN LOAN SERVICING LLC,NA,PA,150XX,Closed with explanation,2382535
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92056,Closed with monetary relief,2438616
Westlake Services LLC,NA,FL,329XX,Closed,2380994
CAPITAL ONE FINANCIAL CORPORATION,NA,PA,18334,Closed with explanation,2444651
Diversified Adjustment Service Inc.,Company believes it acted appropriately as authorized by contract or law,SC,290XX,Closed with explanation,2469915
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MO,631XX,Closed with explanation,2466822
U.S. BANCORP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,782XX,Closed with explanation,2469236
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,79415,Closed with explanation,2476010
Justice Finance Company,NA,TX,752XX,Closed with explanation,2445011
TRANSUNION INTERMEDIATE HOLDINGS INC.,NA,OK,73142,Closed with explanation,1140196
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30312,Closed with explanation,2465139
ECMC Group Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NH,036XX,Closed with explanation,2474984
EQUIFAX INC.,NA,IL,606XX,Closed with explanation,2380990
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NV,98121,Closed with explanation,2406744
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,485XX,Closed with non-monetary relief,2414615
Navient Solutions LLC.,NA,OR,977XX,Closed with explanation,2382286
JPMORGAN CHASE & CO.,NA,NM,88023,Closed with explanation,2434517
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,81215,Closed with explanation,2406888
NELNET INC.,NA,CO,80249,Closed with explanation,2381117
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,20711,Closed with monetary relief,2424568
SUNTRUST BANKS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OH,43074,Closed with explanation,2379848
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,22193,Closed with explanation,2466852
Central Business Funding,NA,TX,760XX,Closed with explanation,2467550
ENCORE CAPITAL GROUP INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,75040,Closed with explanation,2467253
SUNTRUST BANKS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,20902,Closed with explanation,2442435
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33026,Closed with explanation,2436262
Army and Air Force Exchange Service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,KS,66048,Closed with explanation,2480386
LJ Ross Associates,NA,MI,48228,Closed with explanation,2382611
M&T BANK CORPORATION,NA,LA,70092,Closed with non-monetary relief,826
ENCORE CAPITAL GROUP INC.,NA,FL,335XX,Closed with explanation,2466398
CAPITAL ONE FINANCIAL CORPORATION,NA,FL,341XX,Closed with explanation,2476738
Alabama Housing Finance Authority,Company believes it acted appropriately as authorized by contract or law,WA,98312,Closed with explanation,2467982
Helvey & Associates,Company believes it acted appropriately as authorized by contract or law,NC,28208,Closed with explanation,2349666
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,617XX,Closed with non-monetary relief,2468420
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,752XX,Closed with explanation,2464401
National Credit SystemsInc.,Company believes complaint caused principally by actions of third party outside the control or direction of the company,TX,761XX,Closed with explanation,2385786
NISSAN MOTOR ACCEPTANCE CORPORATION,NA,NY,11358,Closed with explanation,2432776
CAPITAL ONE FINANCIAL CORPORATION,NA,VA,23285,Closed with explanation,2422079
NELNET INC.,NA,ID,838XX,Closed with explanation,2382581
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,49444,Closed with monetary relief,2470441
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,81520,Closed with explanation,2464706
PNC Bank N.A.,NA,OH,430XX,Closed with explanation,2382180
PORTFOLIO RECOVERY ASSOCIATES INC,NA,MD,207XX,Closed with explanation,2469451
TD BANK US HOLDING COMPANY,NA,LA,703XX,Closed with explanation,2469694
DISCOVER BANK,NA,CA,916XX,Closed with explanation,2382686
CAPITAL ONE FINANCIAL CORPORATION,NA,NY,10469,Closed with explanation,2442432
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OH,44313,Closed with explanation,2407640
BBVA COMPASS FINANCIAL CORPORATION,NA,TX,787XX,Closed with monetary relief,2382530
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,32963,Closed with explanation,2467374
BAYVIEW LOAN SERVICING LLC,NA,WA,98166,Closed with explanation,2398914
Business Revenue Systems Inc.,NA,FL,33160,Closed with explanation,993028
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,93041,Closed with explanation,2470373
Southwest Credit Systems L.P.,NA,SC,290XX,Closed with explanation,2466322
PAYPAL HOLDINGS INC.,NA,FL,33330,Closed with explanation,2382632
Navient Solutions LLC.,NA,RI,029XX,Closed with explanation,2382694
OCWEN LOAN SERVICING LLC,NA,GA,30064,Closed with explanation,2476027
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,7304,Closed with explanation,2466259
GATEWAY MORTGAGE GROUP LLC,Company believes it acted appropriately as authorized by contract or law,TN,371XX,Closed with explanation,2467013
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,138XX,Closed with non-monetary relief,2408039
S&S Physician Services Inc.,NA,TX,77588,Closed with explanation,2082245
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33607,Closed with explanation,2404892
CITIZENS FINANCIAL GROUP INC.,NA,MA,2072,Closed with explanation,2431777
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,760XX,Closed with explanation,2468553
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,DE,199XX,Closed with explanation,2469179
HYUNDAI CAPITAL AMERICA,NA,MI,490XX,Closed with explanation,2465756
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SC,294XX,Closed with explanation,2466557
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,772XX,Closed with explanation,2468833
MUFG UNION BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92119,Closed with explanation,2470486
EQUIFAX INC.,NA,OR,973XX,Closed with explanation,2471389
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OR,977XX,Closed with explanation,2470018
CREDIT ACCEPTANCE CORPORATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,48185,Closed with explanation,2464883
SLM CORPORATION,Company believes it acted appropriately as authorized by contract or law,MN,56303,Closed with explanation,1461646
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,207XX,Closed with explanation,2408153
Navient Solutions LLC.,NA,CA,926XX,Closed with explanation,2466470
Maury Cobb Attorney at Law LLC,Company believes it acted appropriately as authorized by contract or law,CA,90019,Closed with explanation,2479740
World Omni Financial Corp.,NA,NC,280XX,Closed with explanation,2469803
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,78413,Closed with explanation,2405259
Trident Asset Management L.L.C.,Company believes it acted appropriately as authorized by contract or law,FL,347XX,Closed with explanation,2465863
Investment Retrievers Inc.,NA,MD,209XX,Closed with explanation,1524278
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,95966,Closed with explanation,2465894
TRANSUNION INTERMEDIATE HOLDINGS INC.,NA,CA,93727,Closed with explanation,2468184
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,079XX,Closed with monetary relief,2443202
EQUIFAX INC.,NA,CT,068XX,Closed with explanation,2382676
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,210XX,Closed with explanation,2427704
HSBC NORTH AMERICA HOLDINGS INC.,NA,TX,76903,Closed with explanation,2470103
Merchants and Medical Credit Corporation Inc.,NA,VA,20147,Closed with non-monetary relief,2470375
WELLS FARGO BANK NATIONAL ASSOCIATION,NA,NV,89147,Closed with explanation,432793
Navient Solutions LLC.,NA,NY,108XX,Closed with explanation,2469580
Southwest Credit Systems L.P.,NA,IL,606XX,Closed with explanation,2469244
PNC Bank N.A.,NA,NY,112XX,Closed with explanation,2436208
EQUIFAX INC.,NA,GA,30311,Closed with explanation,1769716
OCWEN LOAN SERVICING LLC,NA,NJ,070XX,Closed with explanation,2479874
OCWEN LOAN SERVICING LLC,NA,CA,956XX,Closed with explanation,2466575
OCWEN LOAN SERVICING LLC,NA,TX,77388,Closed with explanation,2382857
EQUIFAX INC.,NA,FL,337XX,Closed with explanation,2471168
New Century Financial Services Inc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,080XX,Closed with explanation,2468580
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,21230,Closed with monetary relief,2378889
WESTERN UNION COMPANY THE,NA,UT,846XX,Closed with explanation,2466539
Ad Astra Recovery Services Inc,NA,LA,70122,Closed with explanation,2481267
Weltman Weinberg & Reis Co. L.P.A.,NA,MI,48063,Closed with explanation,2481259
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,480XX,Closed with explanation,2467067
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30135,Closed with explanation,2413266
QUICKEN LOANS INC.,NA,MD,21136,Closed with explanation,2480045
Capstone Credit & Collection LLC.,NA,FL,344XX,Closed with explanation,2465538
DataMax Corporation,NA,NC,278XX,Closed with explanation,2468869
TRANSUNION INTERMEDIATE HOLDINGS INC.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IN,463XX,Closed with explanation,2466980
EOS Holdings Inc.,NA,TX,773XX,Closed with explanation,2478283
HUNTINGTON NATIONAL BANK THE,NA,OH,456XX,Closed with explanation,2464974
CITIBANK N.A.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,60615,Closed with explanation,2465689
BANK OF AMERICA NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,231XX,Closed with explanation,2464583
Navient Solutions LLC.,NA,KY,400XX,Closed with explanation,2382309
WELLS FARGO BANK NATIONAL ASSOCIATION,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,76021,Closed with explanation,2424530
Navient Solutions LLC.,NA,NY,103XX,Closed with explanation,2475304
Navient Solutions LLC.,NA,GA,30088,Closed with explanation,1935030
PNC Bank N.A.,NA,MD,211XX,Closed with monetary relief,2465903
Firstsource Advantage LLC,Company believes complaint is the result of an isolated error,NY,11718,Closed with explanation,2475068
