Company,Company public response,State,ZIP code,Company response to consumer,Complaint ID
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,782XX,Closed with explanation,2464764
"BANK OF AMERICA, NATIONAL ASSOCIATION",,TX,78217,Closed with explanation,394194
AMERICAN HONDA FINANCE CORP,,VA,221XX,Closed with explanation,2469135
"Global Payments Check Services, Inc.",Company believes it acted appropriately as authorized by contract or law,TX,776XX,Closed with explanation,2467045
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30058,Closed with explanation,2466920
HSBC NORTH AMERICA HOLDINGS INC.,,NC,275XX,Closed with explanation,2464842
TD BANK US HOLDING COMPANY,,CA,92646,Closed with explanation,2378464
FIFTH THIRD FINANCIAL CORPORATION,,VA,22314,Closed with explanation,2429403
JPMORGAN CHASE & CO.,,HI,96778,Closed with explanation,2378281
"EQUIFAX, INC.",,CA,92879,Closed with explanation,2376798
HSBC NORTH AMERICA HOLDINGS INC.,,VA,22304,Closed with explanation,1172078
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NM,871XX,Closed with explanation,2466929
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77070,Closed with explanation,2402402
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",,OH,435XX,Closed with explanation,2426101
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",,CT,065XX,Closed with explanation,2372597
NCB MANAGEMENT SERVICES INC,,MD,21230,Closed with explanation,2470272
"Southwest Credit Systems, L.P.",,TX,75115,Closed with explanation,2378096
"EQUIFAX, INC.",,GA,30021,Closed with explanation,2379110
ASTORIA BANK,,PA,174XX,Closed with explanation,2375027
"VANDERBILT MORTGAGE & FINANCE, INC",Company has responded to the consumer and the CFPB and chooses not to provide a public response,AL,35160,Closed with explanation,2495135
"BAYVIEW LOAN SERVICING, LLC",,OH,432XX,In progress,2503484
PHH Mortgage Services Corporation,,PA,151XX,Closed with explanation,2485956
"Diversified Consultants, Inc.",,CA,928XX,Closed with non-monetary relief,2502179
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,75244,Closed with explanation,2468862
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,482XX,Closed with explanation,2466359
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,750XX,Closed with explanation,2410129
"SACOR FINANCIAL, INC",,GA,303XX,Closed,2381809
"EQUIFAX, INC.",,CA,916XX,Closed with explanation,2380663
JPMORGAN CHASE & CO.,,NY,10024,Closed with explanation,2379670
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30058,Closed with explanation,2464390
"EQUIFAX, INC.",,CA,91201,Closed with explanation,2377790
Mother Lode Holding Company,Company believes it acted appropriately as authorized by contract or law,CA,92101,Closed with monetary relief,1276557
TOYOTA MOTOR CREDIT CORPORATION,,CO,75038,Closed with explanation,2377851
Alliance Data Card Services,,NY,14432,Closed with explanation,2441491
"Byrider Franchising, LLC",Company believes it acted appropriately as authorized by contract or law,TX,78247,Closed with explanation,2475945
AFNI INC.,,CA,91406,Closed with explanation,2379559
JPMORGAN CHASE & CO.,,AL,358XX,Closed with explanation,2464443
"Navient Solutions, LLC.",,NY,100XX,Closed with explanation,2467257
JPMORGAN CHASE & CO.,,IL,60642,Closed with monetary relief,2378321
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30331,Closed with explanation,2464527
"NRA Group, LLC",Company believes it acted appropriately as authorized by contract or law,VA,23058,Closed with explanation,2236329
"United Shore Financial Services, LLC",,CO,805XX,Closed with explanation,2372472
"Shellpoint Partners, LLC",Company believes it acted appropriately as authorized by contract or law,CA,93065,Closed with explanation,2473802
"Capio Partners, LLC",,AZ,85395,Closed with non-monetary relief,2374729
"Professional Adjustment Corp. of S.W. FL., Inc.",Company believes it acted appropriately as authorized by contract or law,FL,33913,Closed with explanation,2443361
"HireRight Solutions, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33020,Closed with explanation,2382446
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,AL,363XX,Closed with non-monetary relief,2410620
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,UT,843XX,Closed with non-monetary relief,2464678
TD BANK US HOLDING COMPANY,,MD,207XX,Closed with non-monetary relief,2376260
PAYPAL HOLDINGS INC.,,NY,14209,Closed with explanation,2373593
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,49006,Closed with non-monetary relief,2470985
"BAYVIEW LOAN SERVICING, LLC",,MA,018XX,Closed with explanation,2379954
TENET HEALTHCARE CORPORATION,Company believes it acted appropriately as authorized by contract or law,FL,34987,Closed with explanation,2380528
NATIONSTAR MORTGAGE,,NY,100XX,Closed with explanation,2467347
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,76039,Closed with explanation,2464682
CARRINGTON MORTGAGE SERVICES,,OH,43026,Closed with explanation,2377296
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AR,719XX,Closed with explanation,2472028
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,98507,Closed with explanation,2466646
"Navient Solutions, LLC.",,WA,98604,Closed with explanation,2380324
"Navient Solutions, LLC.",,CA,91104,Closed with explanation,2377155
Ditech Financial LLC,Company believes complaint is the result of an isolated error,NV,89135,Closed with explanation,2372585
"Thunderbird Collection Specialists, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,913XX,Closed with explanation,2466175
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,917XX,Closed with explanation,2466882
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91401,Closed with non-monetary relief,2468129
"COMMUNITY CHOICE FINANCIAL, INC.",,WI,549XX,Closed with explanation,2372632
JPMORGAN CHASE & CO.,,IA,522XX,Closed with explanation,2471044
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77656,Closed with non-monetary relief,2468520
"COMMUNITY CHOICE FINANCIAL, INC.",,CA,958XX,Closed with explanation,2374919
"Convergent Resources, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,300XX,Closed with explanation,2477769
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,752XX,Closed with explanation,2466759
"American Payment Holdco, Inc.",,PA,15146,Closed with explanation,2474911
"Viking Client Services, Inc.",,OH,450XX,Closed with explanation,2374098
"Security Credit Services, LLC",,MD,20874,Closed with explanation,2447312
NATIONSTAR MORTGAGE,,NY,112XX,Closed with explanation,2376055
LENDING CLUB CORP,,FL,330XX,Closed with explanation,2446954
"PENNYMAC LOAN SERVICES, LLC.",,TX,77379,Closed with explanation,2381998
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,33181,Closed with explanation,2468994
"EQUIFAX, INC.",,NC,27856,Closed with explanation,2489958
ERC,,DE,19703,Closed with explanation,2500224
CAPITAL ONE FINANCIAL CORPORATION,,MD,21755,Closed with explanation,2490572
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SC,29644,Closed with explanation,2495228
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AR,72204,Closed with non-monetary relief,2497719
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,,Closed with explanation,2464939
"Northstar Location Services, LLC",,PA,157XX,Closed with explanation,2380531
"EQUIFAX, INC.",,IL,606XX,Closed with non-monetary relief,2379225
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,750XX,Closed with explanation,2410679
OCWEN LOAN SERVICING LLC,,DC,20018,Closed with explanation,2378266
PAYPAL HOLDINGS INC.,Company believes it acted appropriately as authorized by contract or law,GA,30274,Closed with non-monetary relief,1384477
"EQUIFAX, INC.",,TX,79403,Closed with explanation,2380124
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,,,Closed with explanation,2445567
Account Resolution Corporation,,MD,21014,Closed with explanation,2330645
"Pendrick Capital Partners Holding, LLC",,TX,78840,Closed with explanation,2380395
Patient Accounting Service Center,,OH,45226,Closed with explanation,982612
American Credit Financial,,OH,456XX,Closed with explanation,2476180
"HOMEBRIDGE FINANCIAL SERVICES, INC.",Company believes it acted appropriately as authorized by contract or law,VA,22182,Closed with non-monetary relief,1523270
"EOS Holdings, Inc.",,TX,773XX,Closed with explanation,2474724
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,,,Closed with explanation,2436027
"RS Clark and Associates, Inc.",,TX,751XX,Closed with explanation,2502367
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,27105,Closed with non-monetary relief,2497939
"AmeriHome Mortgage Company, LLC",,CA,900XX,Closed with explanation,2492127
Ad Astra Recovery Services Inc,,,,Closed with explanation,2503029
AMERICAN EXPRESS CENTURION BANK,,IL,606XX,Closed with explanation,2498926
EXPERIAN DELAWARE GP,,MD,212XX,In progress,2498056
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CT,066XX,Closed with explanation,2471971
"EQUIFAX, INC.",,TX,775XX,Closed with explanation,2469488
TRANSWORLD SYSTEMS INC,,FL,33547,Closed with explanation,2379379
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,371XX,Closed with explanation,2468865
"Navient Solutions, LLC.",,CA,926XX,Closed with explanation,2468267
Alliant Capital Management LLC,,DE,197XX,Closed with explanation,2367045
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company believes it acted appropriately as authorized by contract or law,TX,750XX,Closed with explanation,2465627
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,483XX,Closed with non-monetary relief,2470655
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,483XX,Closed with explanation,2470650
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MD,21224,Closed with explanation,2469385
"Law Offices of Robert A. Schuerger Co., LPA",,GA,31324,Closed with explanation,2330017
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30291,Closed with explanation,2402556
SYNCHRONY BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,PA,19139,Closed with explanation,2465153
"Cogent Road, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,774XX,Closed with explanation,2465687
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NV,891XX,Closed with non-monetary relief,2470136
"Navient Solutions, LLC.",,NJ,7106,Closed with explanation,2492628
"FEDERAL PACIFIC CREDIT COMPANY, LLC",,LA,70592,Closed with explanation,2485620
"Navient Solutions, LLC.",,FL,336XX,Closed with explanation,2494358
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,301XX,Closed with explanation,2493841
EXPERIAN DELAWARE GP,,TX,760XX,In progress,2498096
"Square One Financial, LLC",,FL,324XX,Untimely response,2323492
MERCEDES BENZ FINANCIAL SERVICES,,NV,89027,Closed with explanation,2376121
"Convergent Resources, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WA,983XX,Closed with explanation,2473908
"EARLY WARNING SERVICES, LLC",,TX,782XX,Closed with explanation,2477376
Hillcrest Davidson & Assoc,,MD,20781,Closed with explanation,1506556
"Navient Solutions, LLC.",,CA,930XX,Closed with explanation,2373168
JPMORGAN CHASE & CO.,,NY,10037,Closed with monetary relief,2380359
SYNCHRONY BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,LA,70115,Closed with monetary relief,2465430
HSBC NORTH AMERICA HOLDINGS INC.,,GA,30157,Closed with explanation,2466863
"BANK OF AMERICA, NATIONAL ASSOCIATION",,WI,53110,Closed with explanation,415664
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30127,Closed with non-monetary relief,2468718
"EQUIFAX, INC.",,OH,450XX,Closed with explanation,2469468
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,38372,Closed with explanation,2402558
"Colony Brands, Inc.",,CA,91607,Untimely response,2375896
"Account Control Technology, Inc.",Company believes it acted appropriately as authorized by contract or law,TX,794XX,Closed with non-monetary relief,2466305
"MONTEREY FINANCIAL SERVICES, INC",,GA,317XX,Closed with explanation,2475763
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,913XX,Closed with explanation,2417966
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,604XX,Closed with explanation,2466051
AllianceOne Recievables Management,,CA,94580,Closed with explanation,2380692
"EQUIFAX, INC.",,TX,79339,Closed with explanation,2379505
"CITIBANK, N.A.",,LA,711XX,Closed with explanation,2465360
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30078,Closed with non-monetary relief,2466393
TRANSWORLD SYSTEMS INC,,NV,89138,Closed with explanation,2372974
JPMORGAN CHASE & CO.,,NY,11704,Closed with monetary relief,2379496
DISCOVER BANK,,OH,45324,Closed with explanation,2377882
Veterans Relief Services LLC,,MD,206XX,Untimely response,2379185
Centralized Business Solutions Company,,OH,44118,Closed with explanation,2325339
"Convergent Resources, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,92025,Closed with explanation,2476744
"Navient Solutions, LLC.",,NY,14886,Closed with explanation,1235616
"EQUIFAX, INC.",,DE,19940,Closed with explanation,2108150
"The CBE Group, Inc.",,OH,45140,Closed with explanation,2379589
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,288XX,Closed with explanation,2465850
"Navient Solutions, LLC.",,PA,19401,Closed with explanation,2376877
PHH Mortgage Services Corporation,,CA,94571,Closed with explanation,2464984
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91206,Closed with explanation,2469416
"BANK OF AMERICA, NATIONAL ASSOCIATION",,FL,34712,Closed with non-monetary relief,218733
Alpha Recovery Corp,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,221XX,Closed with non-monetary relief,2466277
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CO,80122,Closed with explanation,2471303
"Brennan & Clark, Ltd., LLC",Company disputes the facts presented in the complaint,NC,28031,Closed with explanation,2446496
"EQUIFAX, INC.",,PA,150XX,Closed with explanation,2379045
"Nationwide Recovery Systems, Ltd",,CA,94546,Closed with explanation,2380599
Ditech Financial LLC,Company believes it acted appropriately as authorized by contract or law,CO,815XX,Closed with non-monetary relief,1900563
"Kramer & Frank, P.C.",Company believes it acted appropriately as authorized by contract or law,MO,63136,Closed with non-monetary relief,2377836
"Southwest Credit Systems, L.P.",,DE,19977,Closed with explanation,2224353
"EQUIFAX, INC.",,OR,974XX,Closed with explanation,2469500
LEXISNEXIS,,VA,23831,Closed with explanation,2491947
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MA,021XX,Closed with monetary relief,2425940
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91604,Closed with explanation,2472029
ENCORE CAPITAL GROUP INC.,,MD,21050,Closed with non-monetary relief,2380308
"EQUIFAX, INC.",,NY,10454,Closed with explanation,2380717
"Gold Star Finance, Inc.",Company believes it acted appropriately as authorized by contract or law,TX,765XX,Closed with explanation,2447060
"WELLS FARGO BANK, NATIONAL ASSOCIATION",,FL,33206,Closed with explanation,1011791
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,100XX,Closed with explanation,2466399
"Ability Recovery Services, LLC",,AZ,853XX,Closed with explanation,2379287
"Dyck-O'Neal, Inc.",,TX,77386,Closed with explanation,2377964
AFNI INC.,,NY,104XX,Closed with explanation,2374071
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,60561,Closed with non-monetary relief,2471268
WORLD ACCEPTANCE CORPORATION,,SC,295XX,Closed with explanation,2374417
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,95050,Closed with explanation,2471379
"EQUIFAX, INC.",,VA,22303,Closed with explanation,2377654
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NM,871XX,Closed with explanation,2466241
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",,AZ,85044,Closed with explanation,451934
JPMORGAN CHASE & CO.,,LA,708XX,Closed with explanation,2471181
AMERICAN HONDA FINANCE CORP,,MA,021XX,Closed with explanation,2378936
GC Services Limited Partnership,,,,Closed with explanation,2471906
RUSHMORE LOAN MANAGEMENT SERVICES LLC,Company believes it acted appropriately as authorized by contract or law,TX,752XX,Closed with explanation,2476143
"Bull City Financial Solutions, Inc",,,,Closed with explanation,2478659
"Commonwealth Financial Systems, Inc.",,SC,294XX,Closed with explanation,2378949
ERC,Company believes it acted appropriately as authorized by contract or law,TN,384XX,Closed with non-monetary relief,2469647
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,28215,Closed with non-monetary relief,2470562
"Navient Solutions, LLC.",,NY,128XX,Closed with explanation,2467230
"EQUIFAX, INC.",,CA,94536,Closed with non-monetary relief,2378289
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NC,280XX,Closed with explanation,2464649
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,303XX,Closed with explanation,2433603
FORD MOTOR CREDIT CO.,,VA,22003,Closed with explanation,2380273
EXPERIAN DELAWARE GP,,FL,331XX,Closed with non-monetary relief,2471444
"Navient Solutions, LLC.",,NY,140XX,Closed with monetary relief,2468119
"EQUIFAX, INC.",,FL,331XX,Closed with explanation,2469165
"Navient Solutions, LLC.",,GA,310XX,Closed with explanation,2377209
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,482XX,Closed with explanation,2470835
SYNCHRONY BANK,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,080XX,Closed with explanation,2466027
OCWEN LOAN SERVICING LLC,,TX,786XX,Closed with explanation,2379389
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,,,Closed with explanation,2466376
"NCC Business Services, Inc.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,31021,Closed with explanation,2319807
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,OK,741XX,Closed with explanation,2470914
PAYPAL HOLDINGS INC.,,,,Closed with explanation,2378849
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MI,482XX,Closed with non-monetary relief,2468539
"EQUIFAX, INC.",,FL,34695,Closed with explanation,1576968
JPMORGAN CHASE & CO.,,GA,300XX,Closed with explanation,2378835
"EQUIFAX, INC.",,NJ,071XX,Closed with explanation,2379146
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NV,89015,Closed with explanation,2465094
"Conn's, Inc.",,TX,77318,Closed with non-monetary relief,2378085
TD BANK US HOLDING COMPANY,,,,Closed with explanation,2446344
"Navient Solutions, LLC.",,NY,121XX,Closed with explanation,2444372
"WAKEFIELD & ASSOCIATES, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,370XX,Closed with explanation,2477122
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NY,115XX,Closed with explanation,2416714
"LoanCare, LLC",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WI,54220,Closed with explanation,2467582
"I.Q. DATA INTERNATIONAL, INC.",Company believes it acted appropriately as authorized by contract or law,NM,87109,Closed with explanation,2465958
"Kansas Counselors of Kansas City, Inc.",Company believes it acted appropriately as authorized by contract or law,MO,640XX,Closed with explanation,2475594
EXETER FINANCE CORP.,,GA,300XX,Closed with explanation,2464798
"EQUIFAX, INC.",,FL,334XX,Closed with explanation,2469463
"EQUIFAX, INC.",,GA,300XX,Closed with explanation,2468784
AES/PHEAA,,CA,920XX,Closed with explanation,2465702
JPMORGAN CHASE & CO.,,CA,900XX,Closed with explanation,2467337
"EQUIFAX, INC.",,TX,785XX,Closed with explanation,2379985
OCWEN LOAN SERVICING LLC,,IL,622XX,Closed with explanation,2439627
HSBC NORTH AMERICA HOLDINGS INC.,,NC,27265,Closed with explanation,2420070
OCWEN LOAN SERVICING LLC,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NJ,7444,Closed with explanation,2464726
"Navient Solutions, LLC.",,AZ,853XX,Closed with explanation,2468501
"Independent Recovery Resources, Inc.",,NY,120XX,Closed with non-monetary relief,2464781
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,OH,447XX,Closed with non-monetary relief,2468631
AMERICAN EXPRESS CENTURION BANK,,TN,372XX,Closed with explanation,2379484
"M.A.R.S., Inc.",Company believes it acted appropriately as authorized by contract or law,OK,74105,Closed with explanation,2465720
Hillcrest Davidson & Assoc,,NC,28374,Closed with explanation,1562730
Solidus Group LLC.,,CA,92203,Closed with explanation,1236667
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CA,91343,Closed with explanation,2469720
"SUNTRUST BANKS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,FL,32808,Closed with non-monetary relief,2441281
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,AR,716XX,Closed with explanation,2470621
AMERICAN EXPRESS CENTURION BANK,,FL,34203,Closed with explanation,2380066
AMERICAN EXPRESS CENTURION BANK,,FL,331XX,Closed with explanation,2471833
Access Receivables Management,Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30034,Closed with explanation,2465314
Patient Accounting Service Center,,NY,113XX,Closed with explanation,2372654
"EQUIFAX, INC.",,FL,32803,Closed with explanation,2421706
CAPITAL ONE FINANCIAL CORPORATION,,FL,34116,Closed with explanation,2443627
TENET HEALTHCARE CORPORATION,Company believes it acted appropriately as authorized by contract or law,GA,30022,Closed with explanation,2379081
"Navient Solutions, LLC.",,TX,774XX,Closed with explanation,2378974
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,77092,Closed with monetary relief,2466192
TENET HEALTHCARE CORPORATION,Company believes it acted appropriately as authorized by contract or law,TX,752XX,Closed with explanation,2381614
AMERICAN EXPRESS CENTURION BANK,,GA,30087,Closed with explanation,2375977
"Navient Solutions, LLC.",,NY,125XX,Closed with explanation,2466772
"Commonwealth Financial Systems, Inc.",,TX,775XX,Closed with explanation,2470946
"EQUIFAX, INC.",,IL,624XX,Closed with explanation,2469473
"Navient Solutions, LLC.",,IL,604XX,Closed with explanation,2466012
"EQUIFAX, INC.",,OR,975XX,Closed with explanation,2372489
"EOS Holdings, Inc.",,CO,80013,Closed with explanation,2379773
"EQUIFAX, INC.",,FL,32746,Closed with explanation,2379709
RUSHMORE LOAN MANAGEMENT SERVICES LLC,,CA,920XX,Closed with explanation,2377234
"EQUIFAX, INC.",,CO,80022,Closed with non-monetary relief,2379009
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,IL,601XX,Closed with explanation,2422008
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,,,,Closed with explanation,2465668
"EQUIFAX, INC.",,PA,18062,Closed with explanation,1059365
The Phoenix Recovery Group,,,,Closed with explanation,2478917
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TN,381XX,Closed with explanation,2471020
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,79701,Closed with non-monetary relief,2403338
"Seterus, Inc.",,SC,290XX,Closed with explanation,2376167
Patient Accounting Service Center,,NY,10034,Closed with explanation,1034259
"WELLS FARGO BANK, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,GA,30828,Closed with explanation,2469934
JPMORGAN CHASE & CO.,,GA,308XX,Closed with explanation,2466991
SANTANDER CONSUMER USA HOLDINGS INC.,,AR,720XX,Closed with explanation,2470398
"Genesis Credit Management, LLC",,MT,59840,Untimely response,2379486
JPMORGAN CHASE & CO.,,,,Closed with explanation,2416419
"SELECT PORTFOLIO SERVICING, INC.",,FL,33133,Closed with explanation,869145
"CITIBANK, N.A.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,NV,891XX,Closed with explanation,2464959
CAPITAL ONE FINANCIAL CORPORATION,,CA,33404,Closed with explanation,2380351
"Credit Service Company, INC",,CO,80013,Closed with explanation,2379912
"Seterus, Inc.",,IA,503XX,Closed with explanation,2379387
"SUNTRUST BANKS, INC.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,75460,Closed with explanation,2466302
"EQUIFAX, INC.",,CA,90065,Closed with explanation,2380694
"Navient Solutions, LLC.",,CA,951XX,Closed with explanation,2447681
RUSHMORE LOAN MANAGEMENT SERVICES LLC,,AZ,85139,Closed with explanation,2469663
EXPERIAN DELAWARE GP,Company has responded to the consumer and the CFPB and chooses not to provide a public response,VA,23009,Closed with explanation,2403317
"Thunderbird Collection Specialists, Inc.",,CA,913XX,Closed with explanation,2471376
CAPITAL ONE FINANCIAL CORPORATION,,FL,32953,Closed with explanation,2474546
CAPITAL ONE FINANCIAL CORPORATION,,SC,29630,Closed with explanation,2471507
TD BANK US HOLDING COMPANY,,NC,282XX,Closed with monetary relief,2469182
"EQUIFAX, INC.",,TX,79404,Closed with explanation,2379683
Business & Professional Collection Service Inc,,NV,895XX,Closed with explanation,2327168
"BANK OF AMERICA, NATIONAL ASSOCIATION",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TX,76018,Closed with explanation,2475532
CAC Financial Corp,,TX,75228,Closed with explanation,2493409
MOVEMENT MORTGAGE LLC,,NC,28262,Closed with explanation,1486891
PAYPAL HOLDINGS INC.,,NY,121XX,Closed with explanation,2380460
U.S. BANCORP,,FL,33076,Closed with explanation,802128
"MERCANTILE ADJUSTMENT BUREAU, LLC",,NJ,075XX,Closed with explanation,2380138
